Participant,Practice,Block,Trial,VV,OC
0,TRUE,0,0,VV1,Low
0,TRUE,0,1,VV1,Low
0,TRUE,0,2,VV2,Low
0,TRUE,0,3,VV1VV2,Low
0,TRUE,0,4,VV2,Low
0,FALSE,1,0,VV1VV2,Medium
0,FALSE,1,1,VV1VV2,Low
0,FALSE,1,2,VV1VV2,Low
0,FALSE,1,3,VV1VV2,Medium
0,FALSE,1,4,VV1VV2,Low
0,FALSE,1,5,VV1VV2,Large
0,FALSE,1,6,VV1VV2,Low
0,FALSE,1,7,VV1VV2,Large
0,FALSE,1,8,VV1VV2,Large
0,FALSE,1,9,VV1VV2,Medium
0,FALSE,1,10,VV1VV2,Large
0,FALSE,1,11,VV1VV2,Low
0,FALSE,1,12,VV1VV2,Medium
0,FALSE,1,13,VV1VV2,Large
0,FALSE,1,14,VV1VV2,Medium
0,FALSE,2,0,VV2,Low
0,FALSE,2,1,VV2,Medium
0,FALSE,2,2,VV2,Large
0,FALSE,2,3,VV2,Medium
0,FALSE,2,4,VV2,Medium
0,FALSE,2,5,VV2,Low
0,FALSE,2,6,VV2,Low
0,FALSE,2,7,VV2,Medium
0,FALSE,2,8,VV2,Low
0,FALSE,2,9,VV2,Large
0,FALSE,2,10,VV2,Low
0,FALSE,2,11,VV2,Large
0,FALSE,2,12,VV2,Large
0,FALSE,2,13,VV2,Medium
0,FALSE,2,14,VV2,Large
0,FALSE,3,0,VV1,Large
0,FALSE,3,1,VV1,Low
0,FALSE,3,2,VV1,Medium
0,FALSE,3,3,VV1,Large
0,FALSE,3,4,VV1,Medium
0,FALSE,3,5,VV1,Medium
0,FALSE,3,6,VV1,Low
0,FALSE,3,7,VV1,Low
0,FALSE,3,8,VV1,Medium
0,FALSE,3,9,VV1,Low
0,FALSE,3,10,VV1,Large
0,FALSE,3,11,VV1,Low
0,FALSE,3,12,VV1,Large
0,FALSE,3,13,VV1,Large
0,FALSE,3,14,VV1,Medium
1,TRUE,0,0,VV2,Low
1,TRUE,0,1,VV1VV2,Low
1,TRUE,0,2,VV1VV2,Low
1,TRUE,0,3,VV1,Low
1,TRUE,0,4,VV2,Low
1,FALSE,1,0,VV1,Medium
1,FALSE,1,1,VV1,Large
1,FALSE,1,2,VV1,Low
1,FALSE,1,3,VV1,Medium
1,FALSE,1,4,VV1,Large
1,FALSE,1,5,VV1,Medium
1,FALSE,1,6,VV1,Medium
1,FALSE,1,7,VV1,Low
1,FALSE,1,8,VV1,Low
1,FALSE,1,9,VV1,Medium
1,FALSE,1,10,VV1,Low
1,FALSE,1,11,VV1,Large
1,FALSE,1,12,VV1,Low
1,FALSE,1,13,VV1,Large
1,FALSE,1,14,VV1,Large
1,FALSE,2,0,VV1VV2,Large
1,FALSE,2,1,VV1VV2,Large
1,FALSE,2,2,VV1VV2,Medium
1,FALSE,2,3,VV1VV2,Large
1,FALSE,2,4,VV1VV2,Low
1,FALSE,2,5,VV1VV2,Medium
1,FALSE,2,6,VV1VV2,Large
1,FALSE,2,7,VV1VV2,Medium
1,FALSE,2,8,VV1VV2,Medium
1,FALSE,2,9,VV1VV2,Low
1,FALSE,2,10,VV1VV2,Low
1,FALSE,2,11,VV1VV2,Medium
1,FALSE,2,12,VV1VV2,Low
1,FALSE,2,13,VV1VV2,Large
1,FALSE,2,14,VV1VV2,Low
1,FALSE,3,0,VV2,Large
1,FALSE,3,1,VV2,Medium
1,FALSE,3,2,VV2,Medium
1,FALSE,3,3,VV2,Low
1,FALSE,3,4,VV2,Low
1,FALSE,3,5,VV2,Medium
1,FALSE,3,6,VV2,Low
1,FALSE,3,7,VV2,Large
1,FALSE,3,8,VV2,Low
1,FALSE,3,9,VV2,Large
1,FALSE,3,10,VV2,Large
1,FALSE,3,11,VV2,Medium
1,FALSE,3,12,VV2,Large
1,FALSE,3,13,VV2,Low
1,FALSE,3,14,VV2,Medium
2,TRUE,0,0,VV1VV2,Low
2,TRUE,0,1,VV2,Low
2,TRUE,0,2,VV1VV2,Low
2,TRUE,0,3,VV2,Low
2,TRUE,0,4,VV1,Low
2,FALSE,1,0,VV2,Low
2,FALSE,1,1,VV2,Large
2,FALSE,1,2,VV2,Low
2,FALSE,1,3,VV2,Large
2,FALSE,1,4,VV2,Large
2,FALSE,1,5,VV2,Medium
2,FALSE,1,6,VV2,Large
2,FALSE,1,7,VV2,Low
2,FALSE,1,8,VV2,Medium
2,FALSE,1,9,VV2,Large
2,FALSE,1,10,VV2,Medium
2,FALSE,1,11,VV2,Medium
2,FALSE,1,12,VV2,Low
2,FALSE,1,13,VV2,Low
2,FALSE,1,14,VV2,Medium
2,FALSE,2,0,VV1,Low
2,FALSE,2,1,VV1,Low
2,FALSE,2,2,VV1,Medium
2,FALSE,2,3,VV1,Low
2,FALSE,2,4,VV1,Large
2,FALSE,2,5,VV1,Low
2,FALSE,2,6,VV1,Large
2,FALSE,2,7,VV1,Large
2,FALSE,2,8,VV1,Medium
2,FALSE,2,9,VV1,Large
2,FALSE,2,10,VV1,Low
2,FALSE,2,11,VV1,Medium
2,FALSE,2,12,VV1,Large
2,FALSE,2,13,VV1,Medium
2,FALSE,2,14,VV1,Medium
2,FALSE,3,0,VV1VV2,Low
2,FALSE,3,1,VV1VV2,Medium
2,FALSE,3,2,VV1VV2,Low
2,FALSE,3,3,VV1VV2,Large
2,FALSE,3,4,VV1VV2,Low
2,FALSE,3,5,VV1VV2,Large
2,FALSE,3,6,VV1VV2,Large
2,FALSE,3,7,VV1VV2,Medium
2,FALSE,3,8,VV1VV2,Large
2,FALSE,3,9,VV1VV2,Low
2,FALSE,3,10,VV1VV2,Medium
2,FALSE,3,11,VV1VV2,Large
2,FALSE,3,12,VV1VV2,Medium
2,FALSE,3,13,VV1VV2,Medium
2,FALSE,3,14,VV1VV2,Low
3,TRUE,0,0,VV1VV2,Low
3,TRUE,0,1,VV1VV2,Low
3,TRUE,0,2,VV1,Low
3,TRUE,0,3,VV2,Low
3,TRUE,0,4,VV2,Low
3,FALSE,1,0,VV1VV2,Medium
3,FALSE,1,1,VV1VV2,Low
3,FALSE,1,2,VV1VV2,Large
3,FALSE,1,3,VV1VV2,Low
3,FALSE,1,4,VV1VV2,Large
3,FALSE,1,5,VV1VV2,Large
3,FALSE,1,6,VV1VV2,Medium
3,FALSE,1,7,VV1VV2,Large
3,FALSE,1,8,VV1VV2,Low
3,FALSE,1,9,VV1VV2,Medium
3,FALSE,1,10,VV1VV2,Large
3,FALSE,1,11,VV1VV2,Medium
3,FALSE,1,12,VV1VV2,Medium
3,FALSE,1,13,VV1VV2,Low
3,FALSE,1,14,VV1VV2,Low
3,FALSE,2,0,VV2,Medium
3,FALSE,2,1,VV2,Large
3,FALSE,2,2,VV2,Medium
3,FALSE,2,3,VV2,Medium
3,FALSE,2,4,VV2,Low
3,FALSE,2,5,VV2,Low
3,FALSE,2,6,VV2,Medium
3,FALSE,2,7,VV2,Low
3,FALSE,2,8,VV2,Large
3,FALSE,2,9,VV2,Low
3,FALSE,2,10,VV2,Large
3,FALSE,2,11,VV2,Large
3,FALSE,2,12,VV2,Medium
3,FALSE,2,13,VV2,Large
3,FALSE,2,14,VV2,Low
3,FALSE,3,0,VV1,Medium
3,FALSE,3,1,VV1,Medium
3,FALSE,3,2,VV1,Low
3,FALSE,3,3,VV1,Low
3,FALSE,3,4,VV1,Medium
3,FALSE,3,5,VV1,Low
3,FALSE,3,6,VV1,Large
3,FALSE,3,7,VV1,Low
3,FALSE,3,8,VV1,Large
3,FALSE,3,9,VV1,Large
3,FALSE,3,10,VV1,Medium
3,FALSE,3,11,VV1,Large
3,FALSE,3,12,VV1,Low
3,FALSE,3,13,VV1,Medium
3,FALSE,3,14,VV1,Large
4,TRUE,0,0,VV1VV2,Low
4,TRUE,0,1,VV1VV2,Low
4,TRUE,0,2,VV1,Low
4,TRUE,0,3,VV1,Low
4,TRUE,0,4,VV2,Low
4,FALSE,1,0,VV1,Low
4,FALSE,1,1,VV1,Large
4,FALSE,1,2,VV1,Large
4,FALSE,1,3,VV1,Medium
4,FALSE,1,4,VV1,Large
4,FALSE,1,5,VV1,Low
4,FALSE,1,6,VV1,Medium
4,FALSE,1,7,VV1,Large
4,FALSE,1,8,VV1,Medium
4,FALSE,1,9,VV1,Medium
4,FALSE,1,10,VV1,Low
4,FALSE,1,11,VV1,Low
4,FALSE,1,12,VV1,Medium
4,FALSE,1,13,VV1,Low
4,FALSE,1,14,VV1,Large
4,FALSE,2,0,VV1VV2,Large
4,FALSE,2,1,VV1VV2,Low
4,FALSE,2,2,VV1VV2,Large
4,FALSE,2,3,VV1VV2,Large
4,FALSE,2,4,VV1VV2,Medium
4,FALSE,2,5,VV1VV2,Large
4,FALSE,2,6,VV1VV2,Low
4,FALSE,2,7,VV1VV2,Medium
4,FALSE,2,8,VV1VV2,Large
4,FALSE,2,9,VV1VV2,Medium
4,FALSE,2,10,VV1VV2,Medium
4,FALSE,2,11,VV1VV2,Low
4,FALSE,2,12,VV1VV2,Low
4,FALSE,2,13,VV1VV2,Medium
4,FALSE,2,14,VV1VV2,Low
4,FALSE,3,0,VV2,Large
4,FALSE,3,1,VV2,Medium
4,FALSE,3,2,VV2,Large
4,FALSE,3,3,VV2,Low
4,FALSE,3,4,VV2,Medium
4,FALSE,3,5,VV2,Large
4,FALSE,3,6,VV2,Medium
4,FALSE,3,7,VV2,Medium
4,FALSE,3,8,VV2,Low
4,FALSE,3,9,VV2,Low
4,FALSE,3,10,VV2,Medium
4,FALSE,3,11,VV2,Low
4,FALSE,3,12,VV2,Large
4,FALSE,3,13,VV2,Low
4,FALSE,3,14,VV2,Large
5,TRUE,0,0,VV1,Low
5,TRUE,0,1,VV1VV2,Low
5,TRUE,0,2,VV2,Low
5,TRUE,0,3,VV2,Low
5,TRUE,0,4,VV1,Low
5,FALSE,1,0,VV2,Medium
5,FALSE,1,1,VV2,Low
5,FALSE,1,2,VV2,Low
5,FALSE,1,3,VV2,Medium
5,FALSE,1,4,VV2,Low
5,FALSE,1,5,VV2,Large
5,FALSE,1,6,VV2,Low
5,FALSE,1,7,VV2,Large
5,FALSE,1,8,VV2,Large
5,FALSE,1,9,VV2,Medium
5,FALSE,1,10,VV2,Large
5,FALSE,1,11,VV2,Low
5,FALSE,1,12,VV2,Medium
5,FALSE,1,13,VV2,Large
5,FALSE,1,14,VV2,Medium
5,FALSE,2,0,VV1,Low
5,FALSE,2,1,VV1,Medium
5,FALSE,2,2,VV1,Large
5,FALSE,2,3,VV1,Medium
5,FALSE,2,4,VV1,Medium
5,FALSE,2,5,VV1,Low
5,FALSE,2,6,VV1,Low
5,FALSE,2,7,VV1,Medium
5,FALSE,2,8,VV1,Low
5,FALSE,2,9,VV1,Large
5,FALSE,2,10,VV1,Low
5,FALSE,2,11,VV1,Large
5,FALSE,2,12,VV1,Large
5,FALSE,2,13,VV1,Medium
5,FALSE,2,14,VV1,Large
5,FALSE,3,0,VV1VV2,Large
5,FALSE,3,1,VV1VV2,Low
5,FALSE,3,2,VV1VV2,Medium
5,FALSE,3,3,VV1VV2,Large
5,FALSE,3,4,VV1VV2,Medium
5,FALSE,3,5,VV1VV2,Medium
5,FALSE,3,6,VV1VV2,Low
5,FALSE,3,7,VV1VV2,Low
5,FALSE,3,8,VV1VV2,Medium
5,FALSE,3,9,VV1VV2,Low
5,FALSE,3,10,VV1VV2,Large
5,FALSE,3,11,VV1VV2,Low
5,FALSE,3,12,VV1VV2,Large
5,FALSE,3,13,VV1VV2,Large
5,FALSE,3,14,VV1VV2,Medium
